"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"Precipitation of wettest quarter",-0.173765476855683,0.424354315354297,0.0478246941843494,-0.0449551899897487,-0.153551835575646,0.0597093585108657,-0.415488015848218,0.229841220453928,-0.0576082466749342,0.104199984154202,-0.0397247472228602,0.0431211126936951,-0.026045152534583,0.171219416576559,-0.415069703126099,0.194183036767112,0.524616021950895
"Precipitation of wettest month",-0.174012532152304,0.424951666407684,0.0565520895134643,-0.037566956256541,-0.157921754042284,0.0796607625292386,-0.404149005451001,0.190965958509258,-0.0492167461992799,0.129691039390704,-0.0310571239066344,0.24088168037344,-0.118009155833149,-0.141060437452453,0.395173077783173,-0.198864441689406,-0.495654267912895
"Annual precipitation",-0.187223801517603,0.400934728878438,-0.0837052181036657,-0.151510429380632,0.256629744192575,-0.129927526262882,0.145985647690374,0.111127203610617,0.146330470336565,0.140728781897714,0.137102905206767,-0.677858769647818,0.338688827948478,-0.070100101041024,0.00838454384979665,-0.0930885870723419,-0.0998434695253481
"Mean temp. of warmest quarter",-0.335165492347754,-0.222025186779112,-0.0869816018657344,-0.00607391341766476,-0.103886216510304,-0.323382374594127,-0.170800904263763,-0.0794815652991948,-0.0302639428146476,-0.0800716241037933,-0.323042535853608,-0.124133701259589,0.0284750113651772,0.571092490961198,0.0592480192283442,-0.471244569424305,0.0165886982499153
"Max temp. of warmest month",-0.284158573962645,-0.234769210987902,0.0863761952241229,-0.0232166448798763,-0.346878478074027,-0.345682904504301,-0.30278858505329,-0.217278600559077,0.0356876332274061,-0.145001632241654,0.517361504916247,-0.242422361328415,-0.173940631760794,-0.214444757543822,0.0470274644063107,0.223749345477647,-0.0133168394483396
"Annual mean temperature",-0.378755801368413,-0.100517263582663,-0.0512581396621214,-0.0016164836064745,-0.0705754938174828,-0.12442687648233,0.0033252336206548,-0.207584047790231,0.134060158306857,0.147747013892874,-0.179605819466528,0.386726018806621,0.629267657339384,-0.333835720051499,-0.211710710373695,0.0532524826448157,-0.0595590147514202
"Climatic moisture index",-0.204646069822616,0.367273901372708,-0.0492807942207156,-0.0573368473941053,0.234561239374636,-0.33969207563821,0.336901888059099,-0.237894510206077,0.363979692521006,-0.00834657596931378,0.188359745445424,0.390610041811669,-0.350281741827889,0.152320526565167,0.0336384226998696,-0.00114764096653373,0.0967946945710554
"Mean annual cloud cover",0.0702056852311562,0.352396371034297,0.220127195874507,0.298034035470874,0.0966906594980796,0.0865496666405695,-0.116810355325557,-0.726772809752039,-0.300078780608523,-0.180196651768119,-0.170961481547205,-0.144694281812733,0.0365917651441569,-0.0156152487968911,-0.0147909688167012,0.00974709772547387,-0.0185860985285399
"Elevation",0.349954232271173,0.11661129247181,0.216994767248464,0.0178011123186704,-0.0828323319933074,-0.072751449529714,-0.0539417039983868,0.0561837421297983,-0.013496275491072,-0.235878736616936,0.548943912541782,0.227385757197477,0.447698038502127,0.237841791830774,-0.0777756133775145,-0.355507268040402,0.00293247500662402
"Slope",0.332801578613471,0.0550864830446596,-0.270466294405613,-0.178075251800297,-0.100910895886078,-0.219301413182079,-0.125481395248083,-0.140685384386068,0.0103171966763951,0.128797963473309,-0.100895762361668,-0.0124664114444013,-0.0522529031029643,-0.451081181290987,0.218379332462204,-0.424187409597814,0.476100708626845
